date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:47	28322/28322	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:45%20GMT	http://svetlana-ekb.ru/catalog/kirovskij-rajon	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/catalog/kirovskij-rajon.html	(from )
15:51:47	29899/29899	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:45%20GMT	http://svetlana-ekb.ru/catalog/zheleznodorozhnyj-rajon	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/catalog/zheleznodorozhnyj-rajon.html	(from )
15:51:48	20734/20734	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:46%20GMT	http://svetlana-ekb.ru/catalog/ordzhonikidzevskij-rajon	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/catalog/ordzhonikidzevskij-rajon.html	(from )
15:51:48	19867/19867	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:46%20GMT	http://svetlana-ekb.ru/catalog/chkalovskij-rajon-	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/catalog/chkalovskij-rajon-.html	(from )
15:51:49	17088/17088	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:47%20GMT	http://svetlana-ekb.ru/catalog/sverdlovskaya-oblast	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/catalog/sverdlovskaya-oblast.html	(from )
15:51:49	15179/15179	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:47%20GMT	http://svetlana-ekb.ru/wishlist	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/wishlist.html	(from )
15:51:50	15725/15725	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:47%20GMT	http://svetlana-ekb.ru/nalichnyj-i-beznalichnyj-bez-nds	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/nalichnyj-i-beznalichnyj-bez-nds.html	(from )
15:51:50	15228/15228	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202022%2010:51:48%20GMT	http://svetlana-ekb.ru/dislokatsiya	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/dislokatsiya.1c.delayed	(from )
15:51:51	20291/20291	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:48%20GMT	http://svetlana-ekb.ru/informatsiya-dlya-vas	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/informatsiya-dlya-vas.html	(from )
15:51:51	20834/20834	---MC-	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202022%2010:51:49%20GMT	http://svetlana-ekb.ru/zayavka-na-razmeschenie	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/zayavka-na-razmeschenie.html	(from )
15:51:51	1722/1722	---M--	200	added ('OK')	image/png	etag:%225bc068ee-6ba%22	http://svetlana-ekb.ru/design/multipurpose/images/payment/card/mastercard.png	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/images/payment/card/mastercard.png	(from )
15:51:52	1261/1261	---M--	200	added ('OK')	image/png	etag:%225bc068ee-4ed%22	http://svetlana-ekb.ru/design/multipurpose/images/payment/card/visa.png	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/images/payment/card/visa.png	(from )
15:51:52	1462/1462	---M--	200	added ('OK')	image/png	etag:%225bc068ed-5b6%22	http://svetlana-ekb.ru/design/multipurpose/images/payment/bank/sberbank.png	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/images/payment/bank/sberbank.png	(from )
15:51:52	1361/1361	---M--	200	added ('OK')	image/png	etag:%225bc068ef-551%22	http://svetlana-ekb.ru/design/multipurpose/images/payment/e-payment/webmoney-white.png	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/images/payment/e-payment/webmoney-white.png	(from )
15:51:52	674/674	---M--	200	added ('OK')	image/png	etag:%225bc068ef-2a2%22	http://svetlana-ekb.ru/design/multipurpose/images/payment/e-payment/yandexmoney.png	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/images/payment/e-payment/yandexmoney.png	(from )
15:51:53	1014/1014	---M--	200	added ('OK')	image/png	etag:%225bc068f1-3f6%22	http://svetlana-ekb.ru/design/multipurpose/images/payment/terminal/qiwi.png	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/images/payment/terminal/qiwi.png	(from )
15:51:55	36868/36868	---MC-	200	added ('OK')	application/javascript	etag:W/%225bc068df-9004%22	http://svetlana-ekb.ru/design/multipurpose/js/bootstrap.min.js	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/js/bootstrap.min.js	(from )
15:51:56	7225/7225	---MC-	200	added ('OK')	application/javascript	etag:W/%225bc068df-1c39%22	http://svetlana-ekb.ru/design/multipurpose/js/bootstrap-rating-input.js	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/js/bootstrap-rating-input.js	(from )
15:51:57	629/629	---MC-	200	added ('OK')	application/javascript	etag:W/%225bc068df-275%22	http://svetlana-ekb.ru/design/multipurpose/js/classie.min.js	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/js/classie.min.js	(from )
15:51:58	11104/11104	---MC-	200	added ('OK')	application/javascript	etag:W/%225bc068e0-2b60%22	http://svetlana-ekb.ru/design/multipurpose/js/modernizr.min.js	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/js/modernizr.min.js	(from )
15:52:02	93342/93342	---MC-	200	added ('OK')	application/javascript	etag:W/%225bc068ea-16c9e%22	http://svetlana-ekb.ru/design/multipurpose/js/slider-pro/jquery.sliderPro.min.js	C:/Мои%20Web%20Сайты/РА%20Светлана/svetlana-ekb.ru/design/multipurpose/js/slider-pro/jquery.sliderPro.min.js	(from )
